N,lambda,R,min_P2,rho_at_min,P2_negative,n_valid
2,2.636650898730358,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,2.636650898730358,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,2.636650898730358,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,2.636650898730358,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,2.636650898730358,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,4.832930238571752,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,8.858667904100823,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,16.23776739188721,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
